	sample1	sample2	sample3	sample4	sample5
geneA	1	3	5.5	7	2
geneB	100	267	55	79	62
geneC	0.3	0.65	9.5	0.87	2.1
geneD	205	356	78	67	2900
geneE	1001	3001	5500	7001	2001
geneF	2	2	2	2	2
geneG	0.01	0.03	0.5	0.07	0.02
geneH	10	13	15.5	17	12
geneI	8	9	5	7	4
geneJ	6	6	3	4	2
geneK	67	73	65	79	82
geneL	0	0	0	0	0
geneM	5	5	5	5	5
geneN	10000	10003	10005.5	10007	10002
geneO	97	73	49	64	90
geneP	6.5	3.5	5.5	9.5	11.5
geneQ	0.0001	0.0003	0.0005	0.0007	0.0002
geneR	100	30	5.5	70	200
geneS	7.2	5.3	1.5	8.7	9.2
geneT	0.11	0.13	0.15	0.17	0.12
geneU	18	13	24	7.67	2.9
geneV	1.2	3.2	5.2	7.2	2.2
geneW	190	23	9.6	790	2.4
geneX	290	3.6	565.5	7.5	280
geneY	0.8	3.8	5.4	7.8	2.8
geneZ	389	367	576	789	225
